the, da
are, es
hello, barev
be, linel
to, depi
of, its
and, yev
a, mi
in, mej
that, da
have, unenal
I, yes
it, da
for, hamar
not, voch
on, vra
with, het
he, na
as, inchpes
you, du
do, anel
at, mot
this, ays
but, bayts
his, nra
by, koghmits
from, its
they, nranq
we, menq
say, asel
her, nra
she, na
or, kam
will, kstana
an, mi
my, im
one, mek
all, bolory
would, ktsankanar
there, ayntegh
their, nranq
what, inch
so, aysbes
up, ver
out, durs
if, ete
about, masin
who, ov
get, stananal
which, vore
go, gnal
me, indz
when, erb
make, patrastel
can, karox e
like, nman
time, zhamanak
no, voch
just, parzapes
him, nran
know, imanal
take, vertsnel
people, mardik
into, depi
year, tari
your, qo
good, lav
some, vorosh
could, karox er
them, nranq
see, tesnel
other, urish
than, qan
then, heto
now, hima
look, nayel
only, miayn
come, gal
its, dra
over, vrayov
think, mtatsel
also, nuynpes
back, het
after, heto
use, ogtagortsel
two, yerku
how, inchpes
our, mer
work, ashxatanq
first, arajin
well, lav
way, ughi
even, nuynisk
new, nor
want, tsankanal
because, vorovhetev
any, cankacats
these, ays
give, tal
day, or
most, aravel
us, mez
man, mard
life, kyank
child, erekha
world, ashkharh
school, dproc
state, petutyun
family, yndhanik
student, usanogh
group, khump
country, yerqir
problem, khndir
hand, dzerq
part, mas
place, tegh
case, depq
week, shabat
company, ynkerutyun
system, hamakarg
program, tsragr
question, harts
government, karavarutyun
number, tiv
night, gisher
point, ket
home, tun
water, jur
room, senyak
mother, mayr
area, taratsq
money, pogh
story, patmutyun
fact, past
month, amis
lot, shat
right, chisht
study, usumnasel
book, girq
eye, achq
job, ashxatanq
word, barr
business, biznes
issue, khndir
side, koghm
kind, tesak
head, glux
house, tun
service, tsarayutyun
friend, ynker
father, hayr
power, uzh
hour, zham
game, xagh
line, gits
end, verj
member, andam
law, orenk
car, meqena
city, qaxaq
community, hamaynq
name, anun
president, nakhagah
team, tim
minute, rope
idea, gagapar
kid, erekha
body, marmin
information, teghekatuutyun
nothing, vochinch
couple, zuyg
control, verahskoxutyun
door, dur
health, aroghjutyun
person, mard
art, arvest
war, paterazm
history, patmutyun
party, kusakcutyun
result, ardyunq
change, popoxutyun
morning, aravot
reason, parzavor
research, hetazotutyun
girl, axjik
guy, txa
moment, pah
air, od
teacher, usucich
force, uzh
education, krtutyun
foot, votq
boy, txa
age, tariq
policy, qaxaqakanutyun
process, gorcuntats
music, yerajishtutyun
market, shuka
sense, zgacum
nation, azg
class, das
animal, kendani
light, luys
color, guyn
letter, namak
fire, krak
dog, shun
cat, katu
street, poxoc
mountain, ler
river, get
sea, cov
sky, yerkink
sun, arev
star, astgh
moon, lusin
flower, tsaghik
tree, car
grass, xot
wind, qam
rain, andzrev
snow, dzyun
cloud, amp
food, snund
bread, hac
meat, mis
fish, dzuk
apple, khndzor
milk, kat
coffee, surj
tea, tey
salt, agh
sugar, shaqar
friendship, ynkerutyun
love, ser
happiness, yerjanqutyun
sadness, txrutyn
anger, zayrutyun
fear, vax
surprise, zarmank
hope, huys
dream, eraz
laugh, tsitsagh
cry, lac
smile, jpit
sleep, qun
wake, artnanal
walk, qaylel
run, vazel
jump, catskel
swim, loghal
fly, trchel
sit, nstel
stand, kangnel
write, grel
read, kardal
draw, nkarel
sing, yergel
dance, parel
play, xaghal
open, bacel
close, pakel
buy, gnel
sell, vacharel
help, ognel
ask, hartsnel
answer, patasxanel
start, sksel
finish, avartel
